Ages Used,Actual Height at 18,Predicted Height at 18,MAE
"(12.0, 17.0)",172.5786765,174.7147059,2.588235294
"(12.0,)",172.5786765,180.0547794,8.694485294
"(13.0, 14.0)",172.5786765,178.45,6.906617647
"(13.0, 14.0, 15.0)",172.5786765,175.6327206,3.893014706
"(13.0, 14.0, 15.0, 16.0)",172.5786765,174.7213235,2.769117647
"(13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.3455882,2.155147059
"(13.0, 14.0, 15.0, 17.0)",172.5786765,174.4290441,2.237132353
"(13.0, 14.0, 16.0)",172.5786765,174.6922794,2.778308824
"(13.0, 14.0, 16.0, 17.0)",172.5786765,174.3422794,2.172426471
"(13.0, 14.0, 17.0)",172.5786765,174.4856618,2.253308824
"(13.0, 15.0)",172.5786765,175.3823529,4.164705882
"(13.0, 15.0, 16.0)",172.5786765,174.6231618,2.715808824
"(13.0, 15.0, 16.0, 17.0)",172.5786765,174.2753676,2.094485294
"(13.0, 15.0, 17.0)",172.5786765,174.3595588,2.144117647
"(13.0, 16.0)",172.5786765,174.5393382,2.887867647
"(13.0, 16.0, 17.0)",172.5786765,174.2341912,2.13125
"(13.0, 17.0)",172.5786765,174.4125,2.25
"(13.0,)",172.5786765,179.4933824,8.384558824
"(14.0, 15.0)",172.5786765,175.1029412,3.868382353
"(14.0, 15.0, 16.0)",172.5786765,174.3878676,2.499632353
"(14.0, 15.0, 16.0, 17.0)",172.5786765,174.0757353,1.914705882
"(14.0, 15.0, 17.0)",172.5786765,174.1448529,1.961029412
"(14.0, 16.0)",172.5786765,174.3305147,2.530514706
"(14.0, 16.0, 17.0)",172.5786765,174.0319853,1.890808824
"(14.0, 17.0)",172.5786765,174.1305147,1.922426471
"(14.0,)",172.5786765,178.0981618,7.103308824
"(15.0, 16.0)",172.5786765,174.1959559,2.295220588
"(15.0, 16.0, 17.0)",172.5786765,173.8349265,1.673897059
"(15.0, 17.0)",172.5786765,173.8338235,1.636764706
"(15.0,)",172.5786765,176.2003676,5.24375
"(16.0, 17.0)",172.5786765,173.6455882,1.518382353
"(16.0,)",172.5786765,174.1625,2.772058824
"(17.0,)",172.5786765,173.5632353,1.505882353
"(9.0, 10.0)",172.5786765,178.9683824,7.507352941
"(9.0, 10.0, 11.0)",172.5786765,179.0878676,7.568014706
"(9.0, 10.0, 11.0, 12.0)",172.5786765,179.1125,7.569117647
"(9.0, 10.0, 11.0, 12.0, 13.0)",172.5786765,179.2926471,7.782352941
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0)",172.5786765,178.8959559,7.207720588
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0)",172.5786765,177.0514706,5.257352941
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.5963235,3.586029412
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.9772059,2.843382353
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,175.1705882,3.008823529
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 16.0)",172.5786765,175.6742647,3.685294118
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,175.0345588,2.900735294
"(9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 17.0)",172.5786765,175.2996324,3.158455882
"(9.0, 10.0, 11.0, 12.0, 13.0, 15.0)",172.5786765,176.7305147,4.994485294
"(9.0, 10.0, 11.0, 12.0, 13.0, 15.0, 16.0)",172.5786765,175.5091912,3.574632353
"(9.0, 10.0, 11.0, 12.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.9525735,2.834926471
"(9.0, 10.0, 11.0, 12.0, 13.0, 15.0, 17.0)",172.5786765,175.1503676,2.999632353
"(9.0, 10.0, 11.0, 12.0, 13.0, 16.0)",172.5786765,175.6132353,3.783823529
"(9.0, 10.0, 11.0, 12.0, 13.0, 16.0, 17.0)",172.5786765,175.0205882,2.966911765
"(9.0, 10.0, 11.0, 12.0, 13.0, 17.0)",172.5786765,175.3628676,3.252573529
"(9.0, 10.0, 11.0, 12.0, 14.0)",172.5786765,179.1676471,7.473529412
"(9.0, 10.0, 11.0, 12.0, 14.0, 15.0)",172.5786765,177.3191176,5.544117647
"(9.0, 10.0, 11.0, 12.0, 14.0, 15.0, 16.0)",172.5786765,175.5683824,3.554411765
"(9.0, 10.0, 11.0, 12.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.9330882,2.7875
"(9.0, 10.0, 11.0, 12.0, 14.0, 15.0, 17.0)",172.5786765,175.1029412,2.940441176
"(9.0, 10.0, 11.0, 12.0, 14.0, 16.0)",172.5786765,175.6,3.630147059
"(9.0, 10.0, 11.0, 12.0, 14.0, 16.0, 17.0)",172.5786765,174.9702206,2.827573529
"(9.0, 10.0, 11.0, 12.0, 14.0, 17.0)",172.5786765,175.2132353,3.069852941
"(9.0, 10.0, 11.0, 12.0, 15.0)",172.5786765,177.1025735,5.563602941
"(9.0, 10.0, 11.0, 12.0, 15.0, 16.0)",172.5786765,175.4849265,3.606985294
