,child_id,ATV_8,ATV_9,ATV_10,ATV_11,ATV_12,ATV_13,ATV_14,ATV_15,ATV_16,ATV_17,ATV_18,ATT_8,ATT_9,ATT_10,ATT_11,ATT_12,ATT_13,ATT_14,ATT_15,ATT_16,ATT_17,ATT_18
55,1000002759,1270.833333333334,1329.166666666667,1379.1666666666665,1437.9166666666663,1505.8333333333326,1552.4999999999993,1585.4166666666665,1620.416666666666,1629.7500000000007,1628.3333333333337,1624.166666666666,280.16666666666697,347.5,387.5000000000001,417.49999999999983,470.833333333333,532.6666666666665,564.1666666666665,607.3333333333335,643.3333333333334,652.3333333333335,643.5000000000001
56,1000002764,1274.5833333333337,1347.916666666667,1410.0,1475.8333333333335,1557.4999999999995,1624.166666666666,1659.5833333333328,1667.0833333333321,1662.083333333334,1667.5833333333335,1657.25,246.66666666666686,276.91666666666674,312.91666666666663,370.25,449.1666666666665,493.1666666666664,522.9166666666665,550.4999999999998,567.9166666666669,595.4166666666667,646.1666666666663
57,1000002768,1240.0000000000005,1315.6666666666665,1382.3333333333326,1452.3333333333335,1532.3333333333335,1609.3333333333337,1636.6666666666663,1520.6666666666674,1595.3333333333355,1660.6666666666667,1654.666666666666,229.99999999999997,256.66666666666663,275.6666666666666,309.6666666666665,358.66666666666646,403.33333333333337,457.6666666666668,507.33333333333326,536.666666666667,536.0,550.6666666666665
58,1000002769,1275.0000000000002,1321.9999999999998,1359.3333333333333,1403.3333333333337,1480.0,1543.3333333333335,1583.333333333333,1608.3333333333333,1618.3333333333333,1623.3333333333335,1624.9999999999993,233.33333333333337,260.66666666666663,275.66666666666663,293.33333333333326,338.9999999999998,388.6666666666663,418.66666666666663,459.33333333333326,494.6666666666669,489.3333333333333,480.66666666666646
59,1000002771,1288.3333333333335,1344.0,1394.9999999999995,1452.0,1515.3333333333335,1597.0,1655.666666666666,1683.333333333333,1696.666666666667,1743.333333333334,1717.666666666666,261.6666666666667,295.33333333333326,340.66666666666646,390.9999999999998,420.66666666666663,492.99999999999955,550.0000000000001,576.0,609.0000000000005,634.6666666666667,646.9999999999997
60,1000002772,1353.6666666666667,1409.333333333333,1476.6666666666663,1540.0,1606.6666666666667,1683.3333333333335,1723.333333333333,1729.9999999999995,1724.666666666667,1740.0000000000005,1746.3333333333323,291.0,313.33333333333326,355.3333333333331,409.99999999999966,449.33333333333337,519.9999999999993,563.3333333333333,613.9999999999998,627.3333333333335,606.3333333333334,589.9999999999998
61,1000002773,1296.6666666666665,1326.6666666666665,1386.6666666666663,1476.6666666666667,1556.666666666667,1613.3333333333335,1629.9999999999993,1640.6666666666665,1638.0000000000002,1646.0000000000007,1650.6666666666658,271.66666666666663,303.0,350.6666666666663,409.99999999999966,483.33333333333314,523.3333333333335,550.0,561.3333333333335,577.3333333333335,593.0,610.9999999999998
62,1000002774,1315.0,1369.9999999999995,1438.333333333333,1525.6666666666665,1585.3333333333337,1610.0000000000002,1644.9999999999993,1683.3333333333335,1698.3333333333335,1675.3333333333335,1683.6666666666658,330.0,362.6666666666665,421.66666666666623,517.9999999999993,564.3333333333336,560.0000000000002,565.0,563.3333333333334,573.3333333333337,607.3333333333335,630.9999999999998
63,1000002776,1276.6666666666665,1333.333333333333,1397.9999999999995,1454.0000000000005,1509.9999999999995,1570.0000000000005,1606.6666666666665,1624.9999999999998,1643.3333333333335,1636.6666666666672,1636.6666666666658,378.66666666666674,427.9999999999998,455.33333333333314,512.6666666666665,595.333333333333,690.6666666666662,756.0000000000002,790.6666666666665,826.666666666667,813.3333333333337,853.3333333333331
64,1000002777,1283.3333333333335,1341.6666666666663,1396.6666666666663,1445.0000000000005,1506.6666666666663,1570.0000000000005,1616.6666666666667,1650.0000000000005,1660.0000000000005,1659.9999999999998,1667.9999999999998,352.66666666666674,422.6666666666667,455.9999999999999,480.66666666666663,564.6666666666664,661.9999999999995,738.6666666666666,787.3333333333334,806.666666666667,803.3333333333336,817.9999999999999
